state,county,RUCC_2013,Description
Arkansas,Hempstead,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Arkansas,Hot Spring,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Arkansas,Howard,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Arkansas,Independence,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Arkansas,Izard,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Arkansas,Jackson,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Arkansas,Jefferson,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Arkansas,Johnson,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Arkansas,Lafayette,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Arkansas,Lawrence,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Arkansas,Lee,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Arkansas,Lincoln,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Arkansas,Little River,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Arkansas,Logan,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Arkansas,Lonoke,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Arkansas,Madison,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Arkansas,Marion,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Arkansas,Miller,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Arkansas,Mississippi,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
Arkansas,Monroe,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Arkansas,Montgomery,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Arkansas,Nevada,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Arkansas,Newton,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Arkansas,Ouachita,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Arkansas,Perry,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Arkansas,Phillips,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Arkansas,Pike,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Arkansas,Poinsett,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Arkansas,Polk,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Arkansas,Pope,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             "
Arkansas,Prairie,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Arkansas,Pulaski,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Arkansas,Randolph,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Arkansas,St. Francis,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Arkansas,Saline,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Arkansas,Scott,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Arkansas,Searcy,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Arkansas,Sebastian,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Arkansas,Sevier,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Arkansas,Sharp,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Arkansas,Stone,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Arkansas,Union,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Arkansas,Van Buren,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Arkansas,Washington,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Arkansas,White,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
Arkansas,Woodruff,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Arkansas,Yell,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
California,Alameda,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
California,Alpine,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
California,Amador,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
California,Butte,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
California,Calaveras,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
California,Colusa,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
California,Contra Costa,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
California,Del Norte,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
California,El Dorado,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
California,Fresno,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
California,Glenn,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
California,Humboldt,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             "
California,Imperial,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
California,Inyo,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
California,Kern,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
California,Kings,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
California,Lake,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
California,Lassen,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
California,Los Angeles,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
California,Madera,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
California,Marin,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
California,Mariposa,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
California,Mendocino,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
California,Merced,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
California,Modoc,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
California,Mono,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
