city,state,Long Term Debt - Beginning Outstanding - Unspecified Public Purpose,Outstanding Unspecified Public Purpose,Retired Unspecified Public Purpose,Long Term Debt - Outstanding Unspecified Public Purpose,Beginning Outstanding - Unspecified Public Purpose,Retired Nonguaranteed - Public Debt for Private Purpose,Beginning Outstanding - Public Debt for Private Purpose,"Issue, Unspecified Public Purpose",Short Term Debt Outstanding - Beginning,End of Fiscal Year,Outstanding Nonguaranteed - Industrial Revenue,"Issue, Nonguaranteed - Public Debt for Private Purpose",Long Term Debt - Beginning Outstanding - Public Debt for Private Purpose,Short Term Debt Outstanding - End of Fiscal Year,Beginning,Long Term Debt - Outstanding Nonguaranteed - Industrial Revenue,Long Term Debt - Retired Unspecified Public Purpose,Beginning Outstanding - Other,Outstanding Nonguaranteed - Other - Other,Outstanding - Full Faith and Credit - Other - Other,Beginning Outstanding - Gas Utilities,Outstanding - Full Faith and Credit - Gas Utilities,Offsets - Nonguaranteed,Issue - Full Faith and Credit - Gas Utilities,Retired Nonguaranteed - Other - Other,Beginning Outstanding - Industrial Revenue,Offsets - Full Faith and Credit,"Issue, Nonguaranteed - Other - Other",Refunded - Issued,Refunded - Retired,Issue - Full Faith and Credit - Other - Other,Retired - Full Faith and Credit - Other - Other,Outstanding - Full Faith and Credit - Transit Utilities,Retired Nonguaranteed - Industrial Revenue,Beginning Outstanding - Transit Utilities,Issue - Full Faith and Credit - Transit Utilities,Retired - Full Faith and Credit - Gas Utilities,Retired - Full Faith and Credit - Transit Utilities,"Issue, Unspecified - Other - Other","Long Term Debt - Issue, Unspecified Public Purpose",Retired Unspecified - Other - Other,Beginning Outstanding - Water Utilities,Outstanding Nonguaranteed - Water Utilities,"Beginning Outstanding, Education - Other",Outstanding - Full Faith and Credit - Elementary and Secondary Education,Retired Unspecified - Elementary and Secondary Education,Retired Unspecified - Water Utilities
Somerton,Arizona,1234.63,1136.70,97.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland,Tennessee,2665.22,2613.18,52.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guymon,Oklahoma,2436.25,2119.32,316.93,,,5.18,20.46,,,,15.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon-Grove,California,1057.92,1034.13,23.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omaha,Nebraska,2873.07,2811.32,506.68,,,,8.13,444.92,,,8.13,,,11.20,11.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edinburg,Texas,969.47,918.94,50.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North-Platte,Nebraska,1609.42,1450.99,1001.69,,,,,843.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encinitas,California,1035.43,969.56,65.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarkston,Georgia,,,,81.03,51.99,,,29.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batesville,Mississippi,464.39,366.72,97.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayward,Wisconsin,,,102.12,848.98,713.11,,,237.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairview,Tennessee,206.43,188.61,17.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San-Antonio,Texas,,,469.84,7394.93,7201.84,4.40,135.37,753.02,232.67,103.41,151.00,20.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lowell,Massachusetts,,,176.48,2190.01,2155.82,,,210.67,,,,,,162.26,116.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chesapeake-City,Maryland,1978.29,1879.88,96.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brady,Texas,190.87,166.54,24.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho-Falls,Idaho,466.26,463.62,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall-River,Massachusetts,2777.81,2674.70,169.62,,,,,66.51,,,,,,186.69,156.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ontario,California,,,245.08,2166.79,2079.00,0.27,261.88,332.88,,,261.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tupelo,Mississippi,2556.48,2503.24,183.62,,,,,130.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher,Illinois,25.03,11.78,13.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnolds-Park,Iowa,10460.78,9942.88,517.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyenne,Wyoming,,,188.59,1299.88,1291.60,,,196.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cookeville,Tennessee,2644.15,2370.80,273.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bristol,Connecticut,1363.29,1231.54,576.86,,,,,445.73,,,,,,263.57,123.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warwick,Rhode-Island,1797.01,1653.44,198.63,,,,,55.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuma,Arizona,,,,,246.17,,,,,,,,,,,,246.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freehold,New-Jersey,609.31,493.15,116.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vienna,Virginia,874.61,695.24,179.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indianapolis,Indiana,7060.92,6863.63,475.16,,,,189.40,277.86,157.58,58.42,189.40,,,,,,,2713.27,1432.38,839.78,626.80,626.80,517.30,303.82,145.51,134.19,126.56,115.88,60.64,60.64,48.14,29.79,20.24,16.95,15.87,5.13,2.74,0.76,,,,,,,,,
Alpine,Texas,464.56,417.42,47.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
