city,state,White alone,Two or more races,Hispanic,Black alone,Asian alone,American Indian alone,Other race alone,Native Hawaiian and OtherPacific Islander alone
Springfield,Missouri,84.7,3.3,4.6,4.6,2.2,0.5,0.2,0.03
Woonsocket,Rhode-Island,61.0,4.2,19.7,7.9,5.7,0.3,1.0,
Marianna,Arkansas,8.9,1.1,0.4,80.4,,,,
Coleman,Wisconsin,9.8,7.1,2.4,,0.3,,,
Jackson,Mississippi,15.5,0.5,1.4,82.5,0.3,0.1,0.05,0.01
Chillicothe,Ohio,86.0,5.5,1.1,6.3,0.3,,0.4,0.03
California,Maryland,62.4,3.3,9.5,20.3,3.0,0.3,0.6,
Bedford,Virginia,75.4,2.8,0.03,20.6,0.5,,,
Covington,Tennessee,46.6,2.6,1.8,48.3,,,0.5,
Buffalo,New-York,40.7,2.5,13.8,35.5,7.0,0.4,0.05,0.03
Evansville,Indiana,78.3,3.2,3.3,13.3,1.1,0.1,0.3,0.4
Alton,Texas,2.8,,97.2,,,0.06,,
Arlington-Heights,Illinois,79.5,1.6,6.4,1.6,10.6,0.03,0.1,
Howell,Michigan,88.8,2.7,4.3,1.2,2.1,0.4,0.1,0.2
El-Campo,Texas,35.0,0.3,56.5,8.0,,0.2,,
Cranston,Rhode-Island,66.9,4.7,15.3,5.2,7.1,0.02,0.6,0.2
Sayreville,New-Jersey,51.8,2.1,18.2,10.8,15.4,0.02,0.9,0.1
Sedona,Arizona,87.6,0.8,9.9,0.3,1.5,0.1,,
West-Park,Florida,14.4,0.4,32.8,51.5,0.7,,1.2,
Mobile,Alabama,41.4,2.3,2.6,52.1,1.8,0.2,0.1,0.01
Oak-Grove,Kentucky,54.8,1.1,15.7,24.3,1.1,0.4,2.0,1.3
Chubbuck,Idaho,83.0,2.9,10.6,0.3,1.8,0.6,0.7,0.2
San-Diego,California,42.6,3.6,30.3,5.8,16.8,0.2,0.2,0.4
Lemont,Illinois,89.6,0.9,5.4,0.5,2.8,0.05,,
Huntsville,Alabama,56.2,2.0,7.3,32.2,1.7,0.3,0.2,0.05
Lake-City,South-Carolina,15.3,0.6,1.8,81.3,,0.3,,
Bakersfield,California,29.5,3.3,52.4,6.7,7.5,0.4,0.08,0.2
Lancaster,Pennsylvania,39.8,4.4,40.1,13.3,4.6,0.01,0.08,0.1
Jersey-City,New-Jersey,25.9,3.0,25.2,20.3,24.5,0.2,0.9,
Victorville,California,20.2,2.9,56.7,17.9,1.9,0.3,0.08,
El-Paso,Texas,12.4,0.8,82.1,3.0,1.3,0.4,0.09,0.01
Boonville,Missouri,78.6,5.1,3.1,1.0,0.6,0.6,0.6,0.4
Salem,Oregon,65.3,5.7,23.6,1.0,3.1,0.6,0.08,0.6
New-Brunswick,New-Jersey,25.8,1.6,48.8,14.8,9.9,0.03,0.08,0.1
Sealy,Texas,46.7,3.2,41.2,8.6,,,,
Minneapolis,Minnesota,60.4,4.5,9.8,19.1,4.8,0.8,0.5,0.1
Fair-Haven,New-Jersey,92.7,0.4,2.4,3.3,0.8,,,
Reno,Nevada,61.5,3.0,24.1,2.4,7.5,0.8,0.2,0.5
New-Castle,Pennsylvania,79.9,5.4,3.3,10.7,0.2,,0.1,
Albany,Georgia,20.7,1.4,2.3,75.0,0.9,0.2,0.09,0.01
Visalia,California,35.2,1.6,54.5,2.3,5.8,0.5,,0.06
Hartford,Connecticut,15.5,1.8,44.9,35.7,1.4,0.08,0.5,
Windsor,Missouri,91.3,7.1,0.8,0.7,,,,
New-Haven,Connecticut,27.4,3.0,32.1,32.1,5.4,,0.09,
Ocala,Florida,58.6,2.2,16.8,20.8,1.7,0.07,0.07,0.1
Fort-Myers-Beach,Florida,94.9,0.3,2.0,0.1,0.8,0.2,,0.3
New-York,New-York,31.9,2.1,29.1,21.7,14.3,0.2,0.8,0.02
Williamsport,Ohio,8.1,0.8,0.3,,,,,
Blackwell,Oklahoma,79.5,5.6,7.4,0.4,,6.5,0.2,
Fortuna,California,70.6,4.0,22.4,0.4,0.5,2.0,0.02,0.6
Miami,Florida,13.3,0.5,71.3,13.5,1.0,0.05,0.2,0.01
Herrin,Illinois,90.1,2.1,2.0,1.8,3.2,0.1,,
Grand-Forks,North-Dakota,81.9,2.5,4.6,4.0,3.2,2.6,0.3,2.0
Macon,Georgia,26.0,2.8,2.7,69.8,0.8,0.06,0.03,0.02
Alexandria,Virginia,52.2,4.7,16.6,20.5,5.5,0.07,0.4,0.02
Plymouth,Connecticut,93.9,1.3,3.0,0.8,0.8,0.1,0.08,0.02
Odessa,Texas,31.5,0.6,59.0,7.0,1.9,0.04,0.02,0.02
Edgewater,Maryland,81.3,2.0,0.0,4.4,1.2,,,
Jonesboro,Arkansas,68.0,2.7,6.4,20.2,1.9,0.2,0.3,0.01
Fayetteville,North-Carolina,36.2,5.5,13.3,39.8,3.4,1.0,0.4,0.4
Callaway,Florida,60.6,5.6,8.8,15.1,4.2,0.4,7.1,
Fresno,California,26.7,2.5,49.9,6.6,13.4,0.5,0.4,0.1
Battle-Creek,Michigan,64.7,5.5,7.8,17.9,4.2,0.3,0.09,0.03
West-Jordan,Utah,67.9,2.5,24.4,0.8,2.2,0.2,0.2,1.8
Greenville,North-Carolina,49.9,3.1,4.9,38.8,2.6,0.3,0.4,0.04
Fort-Wayne,Indiana,65.0,4.3,9.7,15.1,5.4,0.3,0.4,0.02
Niantic,Connecticut,91.6,2.6,3.8,0.1,0.3,,,
Houston,Texas,23.3,1.5,45.8,22.4,6.5,0.2,0.3,0.02
Nampa,Idaho,69.5,2.6,24.8,0.8,1.1,0.6,0.7,0.1
Santa-Fe,New-Mexico,40.6,1.0,54.0,0.9,1.7,1.4,0.3,
Chicago,Illinois,33.5,2.0,28.8,28.5,6.9,0.06,0.2,0.04
Ironton,Ohio,92.3,1.8,1.5,3.9,0.08,,,
Alexandria,Kentucky,96.7,1.0,1.5,,0.3,,,0.2
Harlingen,Texas,14.8,0.4,82.1,0.8,1.2,0.3,,0.04
Jefferson-City,Missouri,72.3,1.6,3.8,20.0,2.6,0.1,0.08,
Ventura,California,67.5,2.5,25.1,1.3,2.8,0.6,0.1,0.1
Cedar-Rapids,Iowa,80.6,3.4,4.2,8.4,2.9,0.3,0.4,0.09
Kane,Pennsylvania,95.5,0.4,1.5,0.9,0.1,,0.7,
Champaign,Illinois,58.6,2.7,6.5,18.3,13.7,0.09,0.3,0.01
Fredericksburg,Virginia,58.7,5.9,11.1,20.9,2.8,0.2,0.3,0.1
Farmington,New-Mexico,42.5,3.7,23.9,1.2,0.7,27.2,0.9,0.02
Bend,Oregon,84.8,1.9,9.6,0.5,2.2,1.0,0.05,0.05
Virginia-Beach,Virginia,60.8,4.7,8.5,18.4,6.9,0.2,0.4,0.09
Eagar,Arizona,80.4,0.2,7.4,,,1.6,,
Flora,Illinois,91.8,6.3,0.06,0.6,0.3,0.4,,
Panama-City,Florida,65.5,3.0,8.3,18.3,2.0,0.2,0.7,1.5
Lancaster,New-Hampshire,95.8,0.8,0.9,1.3,0.8,,,
Marquette,Michigan,89.2,2.8,2.9,3.8,0.5,0.5,0.09,0.1
Coos-Bay,Oregon,81.1,6.2,9.8,0.7,1.1,0.9,,
Cumberland,Maryland,87.0,3.4,1.6,5.8,0.5,0.06,0.07,0.02
Rancho-Mirage,California,77.9,0.7,10.2,2.4,4.7,1.0,,0.1
Garden-City,Kansas,38.3,1.7,52.0,3.6,5.3,0.2,,
Hermleigh,Texas,4.0,,4.4,,,1.0,,
Alexandria,Louisiana,38.1,1.5,2.5,55.3,2.1,0.6,0.08,
Dover,New-Jersey,19.4,1.0,71.0,8.6,2.0,,1.6,
Santa-Clarita,California,47.2,2.4,34.6,4.5,10.3,0.1,0.5,0.3
Heyworth,Illinois,91.4,2.3,4.2,0.5,0.9,,,
Southaven,Mississippi,60.0,1.3,5.6,30.7,2.4,0.06,0.2,0.02
Spokane,Washington,81.0,4.0,6.2,3.0,2.9,2.2,0.08,0.6
Roanoke,Virginia,57.8,3.6,6.5,28.4,3.0,0.2,0.3,0.02
Athens,Georgia,64.3,1.2,5.5,25.1,3.6,0.1,0.2,0.05
Neptune-City,New-Jersey,75.4,0.6,3.8,7.6,2.7,,,
Chesapeake,Virginia,56.7,3.5,6.4,29.7,3.2,0.1,0.3,0.05
Winchester,Virginia,65.2,3.8,18.4,10.1,2.1,0.2,0.05,
Wausau,Wisconsin,80.7,2.9,3.5,0.6,12.0,0.4,,0.1
Eufaula,Alabama,46.7,1.5,4.5,46.3,0.9,0.2,0.3,
Santa-Maria,California,13.8,0.6,80.7,1.8,2.8,0.2,,
Spring-Hill,Florida,73.2,1.8,19.6,3.9,1.1,0.2,0.06,0.2
Cicero,New-York,94.2,1.1,1.6,1.6,1.0,0.3,0.1,0.01
Richland,Missouri,85.1,3.0,0.5,0.9,0.4,,,
Newport-News,Virginia,42.1,4.0,9.4,40.7,3.1,0.07,0.3,0.2
Pine-Hill,New-Jersey,55.3,4.6,8.6,29.1,2.0,,,
Dunbar,West-Virginia,76.2,5.9,3.0,3.3,1.5,0.07,,
Lafayette,Louisiana,60.8,1.2,3.6,31.7,2.2,0.3,0.2,
Wilton,Connecticut,90.0,1.4,3.0,0.9,4.5,0.03,0.2,
Dubuque,Iowa,87.1,1.8,2.7,5.7,1.3,0.3,0.2,0.3
Charleston,West-Virginia,77.3,3.6,1.0,15.6,2.1,0.3,0.1,
Shreveport,Louisiana,36.0,1.2,2.9,57.9,1.4,0.4,,0.2
West-Plains,Missouri,94.9,2.1,1.6,0.2,0.3,0.7,,
Abilene,Texas,57.1,1.7,27.7,10.9,2.2,0.04,0.3,
Bridgeport,West-Virginia,93.5,1.0,1.0,0.9,3.3,,0.2,
Clementon,New-Jersey,44.9,0.8,4.5,35.8,2.0,0.3,2.3,
Beaumont,California,32.3,2.0,47.5,8.7,8.9,0.4,0.2,0.1
Dayton,Ohio,52.5,4.7,4.8,36.4,1.0,0.3,0.1,0.01
Norfolk,Virginia,43.3,4.1,8.5,40.3,3.5,0.3,0.08,0.02
Burnsville,North-Carolina,83.9,3.1,6.3,5.2,0.2,0.6,,0.1
Manchester,New-Hampshire,76.2,2.6,11.2,5.4,4.9,0.2,0.09,0.01
Harahan,Louisiana,82.6,0.1,0.3,4.9,1.2,,,
Bettendorf,Iowa,84.2,2.5,4.3,2.6,6.1,,0.2,
Dayton,Kentucky,92.5,1.8,1.5,3.1,0.2,0.3,0.3,
New-Iberia,Louisiana,51.3,2.0,4.0,40.9,1.5,0.1,0.2,
Charleston,Illinois,82.7,1.8,3.9,7.9,2.7,0.3,0.04,0.06
Canyon,Texas,75.3,1.7,17.2,2.3,2.1,0.5,,0.4
Logan,Utah,75.7,2.4,15.7,1.3,3.4,0.4,0.7,0.5
Dodge-City,Kansas,31.9,1.4,63.6,2.3,1.7,0.4,0.2,0.05
Hephzibah,Georgia,62.4,6.0,5.1,26.0,0.4,,,
Osseo,Wisconsin,94.4,0.7,2.2,0.5,,1.7,,
Boulder,Colorado,79.2,3.2,9.7,1.5,6.0,0.1,0.3,0.03
Anaheim,California,22.5,1.9,53.4,3.3,18.1,0.1,0.08,0.6
Kingsport,Tennessee,89.3,3.0,2.4,3.5,1.3,0.07,0.05,0.2
Fairview-Heights,Illinois,56.0,5.4,2.8,32.5,2.7,,0.3,0.1
Dunn-Loring,Virginia,58.6,3.8,12.0,4.7,19.4,0.2,0.8,
Austin,Indiana,96.8,0.8,0.8,,,0.6,,
Riverhead,New-York,49.6,1.1,28.3,17.9,2.9,,0.5,
Brawley,California,11.5,1.0,84.5,1.1,0.4,0.6,0.03,0.3
Center,Texas,33.7,,29.1,37.2,,,,
Big-Lake,Texas,2.5,0.5,76.2,1.0,0.2,,,
Clarkston,Washington,85.0,3.3,7.3,,1.5,1.7,,0.04
Port-Charlotte,Florida,74.5,2.5,10.6,9.3,1.3,0.3,0.6,0.06
Marion,Illinois,83.5,4.5,2.4,7.9,1.2,0.03,0.06,
Marina,California,34.9,8.0,31.2,6.7,17.7,0.1,0.2,0.6
Westbrook,Maine,88.2,1.8,1.6,5.3,2.0,0.6,1.2,
Escanaba,Michigan,90.4,4.2,1.0,0.8,0.7,3.0,,
Rayville,Louisiana,0.8,1.3,2.0,73.9,2.2,,,
Bargersville,Indiana,96.6,,,1.4,1.2,,,
Knoxville,Tennessee,74.4,3.5,4.3,15.1,1.6,0.8,0.4,0.02
Eureka,California,69.3,5.7,14.4,2.7,5.7,2.0,0.01,0.2
Roswell,New-Mexico,35.9,0.8,58.9,1.7,1.3,1.2,0.4,0.01
Casper,Wyoming,86.1,1.8,8.9,1.6,0.5,1.1,0.01,0.01
Elizabethtown,Kentucky,72.8,5.6,5.7,11.3,4.3,0.2,0.4,0.2
Bloomfield,Indiana,96.1,1.0,1.5,0.3,0.2,,,
Monroe,Louisiana,32.5,0.9,2.4,62.3,0.9,0.2,1.2,
Sedalia,Missouri,79.5,1.7,12.1,5.9,0.7,0.09,0.2,
Houghton,Michigan,80.9,2.7,2.1,2.4,0.9,0.4,0.7,
Waynesville,North-Carolina,87.6,1.9,6.1,2.4,0.8,0.7,,
International-Falls,Minnesota,92.1,1.4,0.5,1.2,0.4,3.4,,
Harrisonburg,Virginia,65.3,3.4,20.4,6.6,3.9,,0.4,
