city,state,total population 2019,percent urban 2019,percent rural 2019,median age,median income 2019,median house price 2019,median rent 2019,cost of living index,population density 2019
Kalispell,Montana,24565.0,100,0,37.0,27167.0,261578.0,858.0,88.6,4500.0
Austin,Texas,978908.0,99,1,33.9,46217.0,378300.0,1334.0,95.5,3892.0
Milledgeville,Georgia,18704.0,100,0,26.4,16743.0,140254.0,725.0,81.2,936.0
Hopatcong,New-Jersey,14186.0,96,4,42.1,45563.0,247720.0,1522.0,113.3,1294.0
Atlantic-Highlands,New-Jersey,4351.0,100,0,47.6,63532.0,432765.0,1420.0,119.7,3519.0
Portage,Michigan,49445.0,99,1,37.9,35570.0,177192.0,851.0,82.2,1535.0
Joplin,Missouri,50925.0,100,0,36.6,25879.0,126751.0,736.0,82.3,1621.0
Des-Moines,Iowa,214237.0,100,0,35.2,29768.0,150200.0,872.0,90.0,2826.0
San-Jose,California,1021795.0,100,0,37.4,51310.0,999900.0,2223.0,157.2,5843.0
Tulsa,Oklahoma,401190.0,99,1,35.5,32746.0,152700.0,827.0,86.3,2197.0
Amarillo,Texas,199371.0,99,1,34.7,27518.0,151700.0,846.0,83.5,2219.0
Cary,Illinois,18067.0,100,0,40.5,43621.0,244513.0,1196.0,103.5,3439.0
Waukegan,Illinois,86075.0,100,0,32.8,23735.0,143800.0,1017.0,97.3,3740.0
Lady-Lake,Florida,16020.0,100,0,65.8,30250.0,180496.0,1079.0,91.3,2421.0
Bemidji,Minnesota,15434.0,92,8,28.2,22433.0,154146.0,818.0,79.8,1310.0
Newport,Rhode-Island,24334.0,98,2,35.9,48242.0,447990.0,1409.0,116.7,3066.0
Madison,Indiana,11861.0,99,1,43.3,25138.0,146422.0,732.0,78.5,1386.0
Fort-Stockton,Texas,8421.0,99,1,35.0,21139.0,111643.0,865.0,78.8,1644.0
Hobbs,New-Mexico,39141.0,98,2,31.8,26852.0,156234.0,1006.0,84.6,2068.0
Marshall,Minnesota,13487.0,97,3,32.1,28597.0,169792.0,711.0,76.5,1628.0
Denison,Iowa,8244.0,98,2,33.5,28938.0,100629.0,678.0,74.8,1332.0
Fort-Pierce,Florida,46103.0,99,1,38.3,20308.0,137365.0,951.0,89.0,3127.0
Spartanburg,South-Carolina,37399.0,100,0,34.9,26254.0,141056.0,857.0,83.6,1953.0
Decorah,Iowa,7576.0,98,2,30.7,28165.0,203947.0,649.0,77.9,1183.0
