city,state,grocery stores per 10k,convenience stores (no gas) per 10k,convenience stores (with gas) per 10k,full-service restaurants per 10k,supercenters and club stores per 10k
Watertown,South-Dakota,1.52,0.38,7.59,10.6,
Decherd,Tennessee,2.68,0.73,6.57,5.11,0.24
Toms-River,New-Jersey,1.59,1.95,0.87,6.36,0.04
Melbourne-Beach,Florida,1.51,1.4,3.48,7.61,0.17
Newark,New-Jersey,3.95,1.54,0.39,6.0,
Hamlin,Texas,7.61,,2.54,2.54,
Cullman,Alabama,1.24,0.25,6.84,6.59,0.12
Newport,Arkansas,3.49,0.58,3.49,7.57,
Canton,Ohio,1.87,0.9,2.69,6.67,0.13
Allentown,Pennsylvania,1.9,0.77,2.67,7.51,0.09
Martinsville,Virginia,2.34,2.52,7.57,4.69,
Fort-Worth,Texas,1.24,1.14,3.56,5.68,0.15
Millville,New-Jersey,3.15,1.8,1.22,4.18,0.06
Lafayette,Colorado,1.56,0.38,2.35,9.94,0.1
State-College,Pennsylvania,1.39,0.49,2.78,6.19,0.14
Flagstaff,Arizona,1.57,0.47,5.65,12.7,0.08
Newport,North-Carolina,2.38,0.48,6.81,15.2,0.32
West-Portsmouth,Ohio,1.7,2.49,4.45,6.28,
Astoria,Oregon,4.02,1.34,4.02,27.8,0.54
South-Lake-Tahoe,California,1.88,0.97,2.28,9.87,0.06
Montoursville,Pennsylvania,1.71,0.86,3.42,8.13,0.09
Rumford,Maine,2.47,2.29,7.94,9.35,0.35
Jacksonville,Florida,2.66,1.53,3.32,7.25,0.12
Madison,Wisconsin,1.53,0.11,3.24,8.03,0.04
Wynne,Arkansas,2.14,0.54,3.22,4.29,
Waco,Texas,0.97,1.1,5.05,5.57,0.13
Florence,Kentucky,1.16,0.8,3.3,8.12,0.27
Williamsport,Pennsylvania,1.71,0.86,3.42,8.13,0.09
Greencastle,Indiana,1.08,,3.23,4.04,0.27
Belfast,Maine,2.6,1.82,7.02,8.84,
Laramie,Wyoming,0.62,0.93,2.79,9.6,0.31
Moundsville,West-Virginia,3.62,0.3,4.53,4.83,
Lake-City,Florida,0.74,1.03,7.51,4.86,0.15
Surfside-Beach,South-Carolina,2.24,0.68,6.57,18.3,0.28
Franklin-Park,Illinois,2.77,0.93,1.53,6.67,0.04
El-Sobrante,California,1.78,0.51,1.75,6.73,0.05
Bluefield,Virginia,2.06,0.46,9.83,3.43,0.69
Richland,Washington,1.2,0.63,3.4,6.11,0.25
Christiansburg,Virginia,1.57,1.12,4.16,8.2,0.11
Springfield,Ohio,1.57,1.43,2.85,2.99,0.07
Lake-Charles,Louisiana,,,4.82,,
Nutley,New-Jersey,3.95,1.54,0.39,6.0,
Bear,Delaware,1.56,1.35,2.13,6.4,0.06
Laurens,South-Carolina,1.44,2.73,4.6,3.74,
Wichita,Kansas,1.33,0.34,2.38,6.44,0.13
Carbondale,Illinois,2.4,0.52,3.95,9.27,0.17
Anderson,Indiana,1.6,0.23,4.19,6.25,0.08
Niceville,Florida,1.82,0.55,4.64,9.66,0.22
Indianola,Mississippi,3.23,0.97,7.1,1.61,
Chino-Valley,Arizona,1.93,0.57,3.25,10.1,0.14
Grand-Junction,Colorado,1.58,0.29,3.38,7.27,0.22
Springdale,Arkansas,1.29,0.21,3.41,9.8,0.21
Grayville,Illinois,4.58,,6.11,3.05,
Naperville,Illinois,1.89,1.05,2.16,7.24,0.09
Clinton,Oklahoma,2.31,0.77,7.3,11.9,
Jacksonville,North-Carolina,1.35,0.8,3.67,5.45,0.12
Geneseo,Illinois,2.42,0.81,6.65,8.87,0.2
Manchester,Tennessee,2.9,0.58,7.15,8.7,0.39
Walla-Walla,Washington,2.45,0.7,1.93,5.95,0.18
Struthers,Ohio,2.5,1.42,2.66,6.66,0.04
Richardson,Texas,1.64,1.15,2.82,6.73,0.1
Haskell,Texas,5.74,1.91,3.83,11.4,
Independence,Missouri,1.64,0.6,2.78,6.91,0.15
Shiprock,New-Mexico,0.82,0.41,5.73,5.07,0.16
Topeka,Kansas,2.02,0.58,3.23,6.0,0.17
Concordia,Missouri,2.45,0.61,5.2,7.65,
