state,county,"Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19","Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
North Dakota,Rolette,1034,2142,3499,1626,12.456330299377441,25.804119110107422,42.151546478271484,19.588001251220703
North Dakota,Sargent,228,1023,1043,520,8.10234546661377,36.35394287109375,37.06467819213867,18.479032516479492
North Dakota,Sheridan,136,408,386,159,12.488521575927734,37.4655647277832,35.44536209106445,14.600550651550293
North Dakota,Sioux,384,762,853,353,16.32653045654297,32.3979606628418,36.267005920410156,15.008502960205078
North Dakota,Slope,54,155,194,141,9.926470756530762,28.492647171020508,35.661766052246094,25.919116973876953
North Dakota,Stark,1937,6524,7310,4565,9.524980545043945,32.08103942871094,35.94610595703125,22.4478759765625
North Dakota,Steele,47,322,511,394,3.6891679763793945,25.27472496032715,40.10988998413086,30.92621612548828
North Dakota,Stutsman,1331,4938,4876,3455,9.116437911987305,33.82191848754883,33.39725875854492,23.664382934570312
North Dakota,Towner,139,548,657,275,8.585546493530273,33.848052978515625,40.580604553222656,16.985794067382812
North Dakota,Traill,357,1414,2096,1575,6.560088157653809,25.983095169067383,38.51525115966797,28.941566467285156
North Dakota,Walsh,1112,2506,2676,1307,14.629653930664062,32.96934509277344,35.205894470214844,17.195106506347656
North Dakota,Ward,2740,13049,15001,12756,6.292196750640869,29.966012954711914,34.44862747192383,29.293161392211914
North Dakota,Wells,380,963,934,649,12.98701286315918,32.91182327270508,31.920711517333984,22.180450439453125
North Dakota,Williams,2127,6048,8909,5266,9.516778945922852,27.060401916503906,39.861297607421875,23.561521530151367
Ohio,Adams,3764,8453,4268,2502,19.8240909576416,44.519935607910156,22.478538513183594,13.177436828613281
Ohio,Allen,6705,26855,22494,13091,9.697013854980469,38.83867263793945,32.53163528442383,18.93267822265625
Ohio,Ashland,4090,14759,9205,7433,11.525347709655762,41.58987808227539,25.939075469970703,20.945697784423828
Ohio,Ashtabula,9592,30576,18645,9795,13.980876922607422,44.56623077392578,27.176130294799805,14.276761054992676
Ohio,Athens,3691,12994,9132,11167,9.97999095916748,35.13411331176758,24.69175910949707,30.194137573242188
Ohio,Auglaize,2275,13482,9403,5852,7.335869789123535,43.47349548339844,30.320520401000977,18.870115280151367
Ohio,Belmont,4950,21329,15648,8385,9.838606834411621,42.393463134765625,31.101924896240234,16.666004180908203
Ohio,Brown,3687,13851,8315,4530,12.135075569152832,45.58799362182617,27.367277145385742,14.909653663635254
Ohio,Butler,22809,80103,66907,73608,9.369955062866211,32.906375885009766,27.48544692993164,30.238224029541016
Ohio,Carroll,2072,9767,5204,2608,10.54399299621582,49.70230484008789,26.482112884521484,13.271589279174805
Ohio,Champaign,2373,12404,7756,4319,8.83733081817627,46.19395065307617,28.884254455566406,16.084463119506836
Ohio,Clark,10393,34897,29607,17235,11.280553817749023,37.877174377441406,32.135414123535156,18.70685577392578
Ohio,Clermont,13727,45549,41164,40289,9.7542085647583,32.36646270751953,29.250545501708984,28.628782272338867
Ohio,Clinton,3286,11032,8539,5333,11.6566162109375,39.13444519042969,30.290884017944336,18.91805648803711
Ohio,Columbiana,8518,33218,21499,11040,11.468192100524902,44.72298812866211,28.94513702392578,14.86368179321289
Ohio,Coshocton,3678,11993,6328,3334,14.518611907958984,47.34141159057617,24.979276657104492,13.160699844360352
Ohio,Crawford,2898,13790,8529,4235,9.839738845825195,46.82194900512695,28.958984375,14.379328727722168
Ohio,Cuyahoga,89084,242977,258465,284708,10.178306579589844,27.761375427246094,29.530960083007812,32.52935791015625
Ohio,Darke,3227,16523,9938,5566,9.153571128845215,46.868438720703125,28.189708709716797,15.78827953338623
Ohio,Defiance,2291,10918,8045,4650,8.844194412231445,42.14793014526367,31.05698013305664,17.950895309448242
Ohio,Delaware,4754,24084,31343,71553,3.6087872982025146,18.28229522705078,23.79264259338379,54.3162727355957
Ohio,Erie,4414,19980,16827,12418,8.229086875915527,37.24901580810547,31.370830535888672,23.151065826416016
Ohio,Fairfield,7669,35512,32370,28745,7.353110313415527,34.04924392700195,31.036664962768555,27.56097984313965
Ohio,Fayette,2810,9011,4609,3191,14.321390151977539,45.92528533935547,23.49013900756836,16.263187408447266
Ohio,Franklin,76076,211911,228536,345062,8.82977294921875,24.595483779907227,26.525066375732422,40.04967498779297
Ohio,Fulton,2494,11977,9164,5063,8.69050121307373,41.734615325927734,31.932538986206055,17.642343521118164
Ohio,Gallia,3311,8514,5564,3286,16.014511108398438,41.18016815185547,26.91172981262207,15.893590927124023
Ohio,Geauga,6296,16261,17344,24464,9.781713485717773,25.263731002807617,26.946321487426758,38.008235931396484
Ohio,Greene,6959,27461,33782,43981,6.203257083892822,24.4787540435791,30.113296508789062,39.20469284057617
Ohio,Guernsey,3955,11678,7719,3992,14.463868141174316,42.707725524902344,28.22922706604004,14.599181175231934
Ohio,Hamilton,47402,144418,149234,208326,8.62827205657959,26.287450790405273,27.16407585144043,37.92020034790039
Ohio,Hancock,3908,18688,15294,14056,7.523197174072266,35.97582244873047,29.442113876342773,27.058868408203125
Ohio,Hardin,2020,9208,4839,3109,10.534000396728516,48.01835632324219,25.234668731689453,16.212974548339844
Ohio,Harrison,1447,5254,3000,1269,13.190519332885742,47.894256591796875,27.34731101989746,11.567912101745605
Ohio,Henry,1225,8352,5986,3223,6.520813465118408,44.458641052246094,31.864154815673828,17.15639305114746
Ohio,Highland,4376,13322,7714,3947,14.905139923095703,45.37620544433594,26.274736404418945,13.443918228149414
Ohio,Hocking,2181,9102,5815,2880,10.917008399963379,45.560115814208984,29.107017517089844,14.415857315063477
Ohio,Holmes,11048,8443,3682,2476,43.07380294799805,32.91746139526367,14.355335235595703,9.653397560119629
Ohio,Huron,4521,18184,11012,5679,11.475784301757812,46.1569709777832,27.952075958251953,14.415168762207031
Ohio,Jackson,3667,9338,5982,3210,16.52025032043457,42.068748474121094,26.949586868286133,14.461413383483887
Ohio,Jefferson,4240,21169,14393,7481,8.96728229522705,44.77084732055664,30.440114974975586,15.821754455566406
Ohio,Knox,3524,16081,11530,9280,8.719534873962402,39.78968048095703,28.529010772705078,22.96177101135254
Ohio,Lake,12724,52666,54780,45339,7.687799453735352,31.82062530517578,33.097896575927734,27.3936767578125
Ohio,Lawrence,5293,18636,12178,6297,12.48231315612793,43.94868469238281,28.7189884185791,14.850013732910156
Ohio,Licking,9968,40297,36581,30601,8.487232208251953,34.310794830322266,31.146814346313477,26.055156707763672
Ohio,Logan,2309,15105,8622,5149,7.404200553894043,48.43674850463867,27.647907257080078,16.51114273071289
Ohio,Lorain,21937,65829,71870,52877,10.322662353515625,30.976457595825195,33.81910705566406,24.881771087646484
Ohio,Lucas,31364,86830,97374,76827,10.726585388183594,29.696130752563477,33.30221176147461,26.275074005126953
Ohio,Madison,4125,13160,8839,5527,13.032763481140137,41.57846450805664,27.92644691467285,17.462324142456055
Ohio,Mahoning,14875,61634,47614,39614,9.084691047668457,37.64207077026367,29.079561233520508,24.193675994873047
Ohio,Marion,5602,20601,14298,5807,12.097261428833008,44.486915588378906,30.87587547302246,12.539950370788574
Ohio,Medina,6142,38487,37497,42166,4.94158935546875,30.964984893798828,30.168474197387695,33.924949645996094
Ohio,Meigs,2707,6907,4736,2166,16.390167236328125,41.82005310058594,28.67522430419922,13.114555358886719
Ohio,Mercer,2123,12233,7706,4943,7.861506938934326,45.29901885986328,28.53545570373535,18.304018020629883
Ohio,Miami,6449,26735,22859,17017,8.826991081237793,36.59321212768555,31.287982940673828,23.29181480407715
Ohio,Monroe,1098,5236,2511,1264,10.861608505249023,51.79542922973633,24.839252471923828,12.50370979309082
Ohio,Montgomery,36126,101192,125596,101639,9.909669876098633,27.757829666137695,34.452056884765625,27.88044548034668
