city,state,engineers,"other management occupations, except farmers and farm managers","other sales and related occupations, including supervisors","information and record clerks, except customer service representatives","material recording, scheduling, dispatching, and distributing workers","other office and administrative support workers, including supervisors","preschool, kindergarten, elementary, and middle school teachers","supervisors, construction and extraction workers",construction laborers,computer specialists,"counselors, social workers, and other community and social service specialists",cashiers,"other production occupations, including supervisors",assemblers and fabricators,building and grounds cleaning and maintenance occupations,"law enforcement workers, including supervisors","laborers and material movers, hand",driver/sales workers and truck drivers,"electrical equipment mechanics and other installation, maintenance, and repair workers, including supervisors",registered nurses,"nursing, psychiatric, and home health aides",cooks and food preparation workers,carpenters,"retail sales workers, except cashiers",customer service representatives,health technologists and technicians,"sales representatives, services, wholesale and manufacturing",top executives,secretaries and administrative assistants,waiters and waitresses,"vehicle and mobile equipment mechanics, installers, and repairers","other food preparation and serving workers, including supervisors","bookkeeping, accounting, and auditing clerks",farmers and farm managers,"agricultural workers, including supervisors",child care workers,"other teachers, instructors, education, training, and library occupations",postsecondary teachers,"other material moving workers, except laborers",metal workers and plastic workers,"operations specialties managers, except financial managers","entertainers and performers, sports, and related workers",media and communications workers,other healthcare support occupations,extraction workers,"construction traders workers except carpenters, electricians, painters, plumbers, and construction laborers",personal appearance workers,"financial clerks, except bookkeeping, accounting and auditing clerks",lawyers,physicians and surgeons,painters and paperhangers,accountants and auditors,"teachers, secondary school",rail and water transportation workers,"advertising, marketing, promotions, public relations, and sales managers",life and physical scientists,food processing workers,"supervisors and other personal care and service workers, except child care workers","other protective service workers, including supervisors","textile, apparel, and furnishings workers",social scientists and related workers,other transportation occupations,therapists,other financial specialists,"life, physical, and social science technicians",mathematical science occupations,woodworkers,art and design workers,"pipelayers, plumbers, pipefitters, and steamfitters",bus drivers,"transportation, tourism, and lodging attendants","food and beverage serving workers, except waiters and waitresses","fishing, hunting, and forestry occupations",religious workers,"motor vehicle operators, except bus and truck drivers",printing workers,"drafters, engineering, and mapping technicians",other health diagnosing and treating practitioners and technical occupations,electricians,"supervisors, transportation, and material moving workers","judges, magistrates, and other judicial workers",legal support workers,other construction workers and helpers,financial managers,occupational and physical therapist assistants and aides,plant and system operators,communications equipment operators,"teachers, special education"
Twentynine-Palms,California,,6.2,5.7,6.9,4.5,3.7,6.8,,,,,7.0,,,7.5,,,4.6,5.4,,,4.9,,4.6,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felton,Delaware,,3.7,5.8,,6.3,7.6,4.1,4.7,,,,,,,5.8,,,7.9,,4.1,,5.3,,6.4,,,,,7.6,,,,,,,,,,,,,,,,,5.8,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wichita-Falls,Texas,,4.4,,,,,,,,,,3.9,3.0,,4.7,,4.4,4.6,,5.9,6.8,3.5,,3.0,,6.2,,,3.4,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West-Chicago,Illinois,,4.2,4.7,,,5.3,,,,3.6,,,7.2,,7.1,,5.0,,5.0,,,,,,,,,,5.5,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey-Shore,Pennsylvania,,,,,5.7,,,,,,,7.8,11.5,5.4,11.6,,5.1,5.2,6.6,,5.5,,,,,4.5,,,4.6,,,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corbin,Kentucky,,,4.7,,6.3,5.8,4.9,,,,,5.4,5.4,,,3.5,,6.2,5.7,6.2,,3.8,,5.4,,,,,6.2,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennewick,Washington,5.9,5.3,4.2,,,6.0,5.4,,,,,3.7,3.8,,4.2,,,3.9,4.8,,,,,4.2,,,,,6.9,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vallejo,California,,4.4,,,,,,,4.4,4.2,4.3,,,,3.3,,4.5,3.2,3.1,4.5,9.6,,,,3.0,5.6,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wenatchee,Washington,,4.6,4.1,4.6,3.2,,4.2,,,,,,4.5,,6.0,,,,4.6,5.5,,,,3.1,,,,,6.1,,,,4.1,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachse,Texas,5.7,4.9,5.3,,,4.7,7.8,,,7.9,,,,,,,,,6.6,3.1,,,,3.4,,,3.3,,10.7,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union-City,Tennessee,,2.9,3.6,3.8,5.0,4.1,,,,,,5.8,7.2,3.4,,,,3.7,5.1,,,5.6,,,,,,,6.1,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crockett,Texas,,,4.7,,,,6.4,,5.0,,,,6.5,,6.8,4.6,5.2,,7.5,4.4,17.4,4.3,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coldwater,Michigan,,,,,5.1,4.6,,,,,,5.2,5.9,,3.1,4.6,4.4,4.3,4.5,,,,,,,,,,4.2,3.3,,,,,,4.6,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West-Palm-Beach,Florida,,3.8,,3.7,,3.8,,,5.4,,,,,,4.3,,5.1,3.2,,3.9,5.5,4.8,,3.8,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moses-Lake,Washington,,5.0,4.8,,,,5.3,,,,,,4.1,,3.7,,,6.2,6.2,,,,,4.2,,,,,5.5,,,,,,4.3,4.5,4.5,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tallulah,Louisiana,,4.5,,,5.4,,,,,,3.1,8.2,,,7.5,6.1,,6.9,,,10.4,8.2,,,,3.8,,,5.0,,,,,,7.2,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary,Indiana,,,4.0,,3.4,5.6,4.7,,,,,6.8,7.6,,3.9,,6.2,4.3,4.7,,4.7,,,,,,,,5.0,,,,,,,,,,4.2,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eatonton,Georgia,,,,,,5.4,7.8,,,,,,9.4,,4.3,4.0,4.3,4.9,8.2,,,,4.5,,,,,,5.4,,,,,,,,,,,6.1,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merlin,Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stratford,Texas,,,4.3,,,8.0,12.3,,,,,,4.1,,3.7,,3.7,6.3,3.7,,3.5,,,,,,,,7.2,3.7,,,4.0,18.2,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fargo,North-Dakota,,5.1,,,,3.4,,,,4.4,3.2,,,,4.0,,4.0,3.1,4.2,7.4,4.6,,,3.4,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickinson,North-Dakota,,4.5,5.5,,,6.6,5.3,,,,,4.2,,,,,,7.2,4.6,,,,,4.1,,4.1,3.7,,8.5,,4.1,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boone,North-Carolina,,,,7.4,3.6,6.2,5.3,,,,,5.7,,,5.7,,,,,,,7.3,,6.1,,,,,5.5,12.2,,4.0,,,,,,8.2,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eden,Texas,,5.5,,,,,10.0,,,,,,,,4.0,8.6,,5.9,4.7,5.9,5.0,5.9,,,,7.9,,,,5.4,8.6,,,7.1,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
Columbia,Missouri,,5.8,,3.6,,4.3,,,,6.2,,4.1,,,4.7,,3.3,,,5.6,,2.5,,,,,,,,3.7,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,
Convoy,Ohio,,,4.7,,,,,,,,,,7.5,5.6,,,7.1,8.1,5.8,,4.9,6.0,,,4.5,,,,,5.2,,,,,,,,,,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South-San-Francisco,California,,3.6,3.4,4.6,4.9,8.7,,,,4.7,,,,,4.0,,,5.2,4.1,,,,,3.2,,,,,8.5,,3.9,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green-Bay,Wisconsin,,4.7,,3.6,,,,,,,,4.0,6.0,,3.6,,3.5,5.3,,,5.0,3.3,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockwall,Texas,4.8,5.6,3.4,,,4.9,7.6,,,5.2,,,,,,,,,4.0,4.5,,,,,,,4.4,5.5,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stockton,California,,3.9,,,,3.7,,,3.5,,,4.3,,,4.2,,4.2,5.2,,,6.4,,,,,4.2,,,,,,,,,5.4,,3.2,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pensacola,Florida,,6.1,5.8,3.8,,4.9,5.9,,,,,,,,4.4,,,3.4,4.5,3.9,,,,4.3,,,4.1,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palm-Springs,California,,8.1,,,,,,,,2.6,,3.1,,,4.8,,,,2.5,4.6,6.9,2.8,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,3.2,,,,2.6,,,,,,,,,,,,,,,,
Ames,Iowa,3.2,3.8,3.6,4.2,,6.3,,,,5.8,,,,,3.0,,,,,,,,,3.4,,,,,5.8,4.0,,,,,,,,8.2,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poplar-Bluff,Missouri,,4.3,,4.6,,5.2,,,,,,,5.5,,5.8,,3.5,4.8,,4.2,5.0,,,,,5.2,4.6,,6.4,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolton,Connecticut,6.1,6.0,4.4,,,4.0,5.8,,,5.6,,,3.8,,3.7,,,,7.2,,,,,,,,,,5.3,,,,4.9,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver-Spring,Maryland,,9.2,,,,,,,3.5,3.9,,3.0,,,5.5,,,,,,2.8,,5.5,,,,,,3.0,,,,,,,,,,,,,,2.6,,,,,,2.8,,4.2,,,,,3.3,,,,,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,
Bowling-Green,Kentucky,,2.9,5.0,3.9,,7.4,3.9,,,,,4.1,6.8,,,,3.9,3.7,,,,,,4.3,,,,,4.9,4.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocola,Oklahoma,,,,,,6.6,6.9,,,,,,4.8,8.5,,,5.1,8.9,5.2,,5.1,5.4,,,,,,,4.1,,3.5,,,,,,,,4.7,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pendleton,Oregon,,4.4,3.6,4.1,3.7,6.2,4.9,,,,,4.4,,,4.2,,3.9,5.4,4.7,,,,,4.8,,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rogers,Arkansas,,,5.4,3.9,3.3,6.2,4.5,,,,,,8.2,,3.8,,4.7,3.5,4.3,,,,,3.7,,,,,5.0,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand-Rapids,Michigan,3.3,4.1,,,,3.2,,,,3.5,,,3.3,,4.9,,7.0,3.2,,,4.6,3.1,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weatherford,Oklahoma,,4.1,3.6,,,6.8,4.5,,,,,6.2,,,5.5,,,3.1,6.0,,4.0,,,6.4,,,,,9.1,,,,,,,,,3.5,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gruver,Texas,,,,,,,12.6,,,,,,5.0,,5.1,,,6.7,4.3,4.7,,7.0,,,,,,,9.3,,4.7,,,4.7,13.3,4.2,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-London,Connecticut,,2.7,3.6,,,5.4,,,,,,5.2,,,5.4,,3.1,3.7,3.6,,5.1,4.3,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gladstone,Missouri,,4.7,4.5,4.4,5.0,7.5,4.1,,,4.4,,,,,,,,5.4,5.6,3.8,,,,,3.9,,4.5,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia,Louisiana,,4.8,,8.6,,8.6,6.5,,,,,,6.5,,6.2,6.5,,,8.1,,,4.9,,9.9,,,,,9.9,,6.5,,,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highlands-Ranch,Colorado,5.7,6.7,,,,,,,,4.5,,,,,,,,,,4.9,,,,,2.8,2.3,3.0,4.7,,,,,,,,,2.7,,,,2.9,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lancaster,California,3.4,4.7,,,,3.6,,,3.8,,2.6,5.4,,,5.7,,3.2,4.2,,4.8,5.7,,,,,,,,,,3.1,,,,,,3.7,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willmar,Minnesota,,,4.7,3.7,2.8,3.9,,,,,,4.0,5.4,,4.2,,6.2,5.1,,,3.7,3.5,,3.0,,4.1,,,4.7,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisville,Kentucky,,3.1,3.6,4.0,3.9,7.7,4.1,,,,,3.7,4.9,,3.8,,4.8,3.8,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort,South-Carolina,,5.8,5.1,,,4.3,8.7,2.9,,,,,,,,,,,4.8,,,,5.1,4.1,,4.3,3.7,,6.0,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claremont,New-Hampshire,,,3.6,,5.5,5.4,,,,,,5.0,6.0,3.5,,,,5.8,5.2,,4.9,,,,,,,,7.4,,,,3.4,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert-Lee,Texas,,5.1,5.6,,,4.8,10.4,,,,,4.3,,,,5.5,5.5,5.5,6.8,,12.1,,,,,9.1,3.2,,5.6,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma-City,Oklahoma,,5.2,,3.3,,3.5,,,,4.9,,3.5,,,4.4,,3.9,4.2,3.3,3.3,,2.3,,2.3,,,,,3.9,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South-Sioux-City,Nebraska,,,3.0,4.1,,4.5,3.8,,,,,,7.2,,,,7.2,6.4,3.4,,,,,,,,,,4.5,,4.1,,,,,5.2,,,,,,,,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebron,Kentucky,3.7,5.4,3.6,,4.2,8.1,7.9,,,,,5.5,6.3,,4.0,,,,5.6,,,,,4.4,4.5,,4.8,5.5,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairmont,Minnesota,,,5.3,,,3.7,4.4,,,,,,4.2,,,,,6.0,4.6,,5.3,4.4,,4.4,,,4.0,,,,,,,,,,4.3,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killeen,Texas,,,3.8,4.5,5.3,5.0,6.7,,,,,5.8,,,3.8,4.7,,6.9,6.1,,,,,4.2,4.5,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey,California,,6.7,5.2,5.2,3.2,5.9,6.0,,,3.9,,,,,2.8,,,,2.9,,,,,3.1,,,,,,3.9,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port-St.-Lucie,Florida,,4.6,,3.7,,4.2,,,,,,,,,3.3,,5.2,3.8,5.2,7.0,5.4,,,4.5,4.5,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrisburg,Pennsylvania,,3.3,,4.0,4.0,12.0,,,,,,4.4,4.2,,4.9,,7.9,4.6,,,5.1,3.7,,,4.5,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lafayette,Indiana,,3.6,4.1,,,4.8,,,,,,,7.8,4.8,4.1,,4.3,3.8,,3.7,,,,3.5,,,,,5.4,,,,,,,,,4.3,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parkville,Maryland,,4.3,3.8,3.7,,8.5,3.9,,,3.2,,3.3,4.3,,2.8,,,4.5,5.6,4.3,,,,3.5,,,,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murphy,North-Carolina,,,4.9,,,,13.4,,,,,8.1,,,4.2,,8.4,,6.1,,,4.9,,10.9,,,,,4.2,7.7,,,,,,,6.7,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,
Leesburg,Virginia,3.9,5.8,4.9,,,5.8,4.1,,,4.0,,,,,,,,,,,,,,3.6,,,3.1,3.5,5.4,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easton,Maryland,,3.8,3.8,,,,4.5,,,,,,4.6,,5.0,,,4.5,4.5,4.8,,,4.1,4.4,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poughkeepsie,New-York,,4.7,3.6,,,5.4,,,,4.4,3.7,,3.1,,4.3,,,3.5,,,7.9,5.1,,,,,,,3.8,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West-Frankfort,Illinois,,,5.1,,,6.7,4.7,,,,,4.9,9.7,5.6,5.8,,6.0,8.1,4.4,,,4.6,,,,,,,5.6,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muscatine,Iowa,,,3.4,3.9,,,5.1,,,,,3.6,5.9,,4.0,,6.2,3.5,6.1,,,3.8,,,,,,,,,,,,,,3.8,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffeyville,Kansas,,,,,3.1,4.3,,,,,,4.5,8.1,3.3,5.6,,,3.9,6.0,,4.4,3.6,,4.4,,,,,4.9,5.2,,,,,,,,,,13.6,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lansing,Michigan,3.9,3.6,,,,5.6,,,,4.7,,5.5,,,4.2,,7.3,6.4,3.1,,4.3,,,,,3.5,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus,Indiana,9.6,5.1,4.4,,,5.0,6.0,,,3.5,,,4.4,4.3,,,4.1,,4.2,,,,,4.1,,,,,6.9,,,,,,,,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas-City,Kansas,,3.4,,3.5,,,,,3.3,,,4.2,4.2,,6.9,,4.4,4.8,,,4.8,,3.4,,3.5,2.5,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris,Illinois,,3.9,,4.0,4.0,,,,,,,,7.9,4.0,3.0,,,7.5,4.0,,4.3,4.4,,,,,,,8.5,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darlington,South-Carolina,,4.0,4.7,,,5.5,4.2,,,,,3.7,5.6,,8.3,,5.6,5.3,,,,,,4.1,,,4.9,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concord,California,,4.6,,,,3.9,,,3.2,5.9,,3.0,,,4.0,,,2.5,3.4,3.6,5.3,3.4,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torrance,California,6.0,7.1,,,,3.5,,,,3.3,,,,,,,2.5,,,5.1,3.1,,,2.1,,,,3.6,5.2,,2.1,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunny-Isles-Beach,Florida,,6.8,4.5,7.3,,5.8,,,,2.7,,,,,,,,,,,,,,9.2,,,5.4,3.8,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St.-Petersburg,Florida,,8.0,,,,3.4,,,,3.4,,,,,3.2,,4.2,,3.4,5.2,3.5,2.9,,3.0,5.1,3.7,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,
Shelbyville,Tennessee,,,4.4,,4.7,4.4,3.9,,,,,,13.8,3.9,,,4.7,4.3,5.1,,,,,,,,,,5.1,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson,South-Carolina,,4.3,4.7,,3.8,4.6,5.2,,,,,4.7,5.6,,4.8,,,4.0,5.6,,4.2,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollywood,Florida,,5.5,,4.6,,4.7,,,4.8,,,3.7,,,5.6,,4.9,4.5,3.1,4.0,,,,3.3,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marana,Arizona,8.3,7.6,3.6,4.1,,7.0,6.5,,,5.2,,,,,,5.7,,,4.1,6.0,,,,,,4.0,,,4.6,,4.5,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangs,Texas,,,6.0,,3.5,,10.4,,,,,,7.5,,5.4,,5.2,11.4,4.2,5.4,5.4,,,,,6.0,,,6.0,,,,,,,,,,4.6,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,
Morehead-City,North-Carolina,,6.1,3.7,,,4.0,5.0,4.3,,,,3.7,,,6.3,,,,5.0,4.2,,,6.1,,,,,,,6.0,4.1,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minot,North-Dakota,,4.0,4.9,6.1,,5.8,6.5,,,,,3.8,,,3.7,,3.4,5.1,4.4,,,,,4.9,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asheville,North-Carolina,,7.0,,,,,,,5.7,3.8,4.3,,,,6.1,,,2.7,3.7,3.4,,4.2,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,3.8,,,,,,,3.2,,,,,,,,,
Bridgeport,Ohio,,,6.5,,,,,,,,4.3,8.3,,,7.8,,,7.1,8.4,,6.3,5.4,4.1,,,,,,8.5,,,4.9,,,,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilmington,Delaware,,5.4,,,,,,,,2.8,3.4,,,,3.6,,4.4,2.8,2.7,,5.9,,,,3.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,12.6,,,,,,,,
Detroit,Michigan,,5.7,,3.7,,,,,,,,4.8,4.9,3.9,4.8,,9.4,4.6,,,7.6,3.5,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelham,New-Hampshire,,3.8,4.3,3.2,,4.3,5.5,,,5.7,,,5.5,,,,,4.6,4.8,5.3,,,,3.0,,,,,6.9,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln-Park,Michigan,,,4.2,4.5,4.0,7.6,,,,,,4.7,6.2,4.6,,,4.5,7.4,7.1,,,,,4.8,,,,,6.3,,5.5,,3.4,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catasauqua,Pennsylvania,,,5.4,,4.2,13.8,,,,,3.6,3.9,3.2,,6.4,,,4.7,6.9,,5.7,,,,,,,,5.8,,,,,,,,,,,3.6,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raleigh,North-Carolina,3.0,6.4,,,,,,,,3.2,,,,,4.5,,3.4,3.0,3.3,,2.7,,,3.5,2.0,2.7,,,2.7,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
