city,state,Other Funds - Cash and Securities,Bond Funds - Cash and Securities,Sinking Funds - Cash and Securities,Bond Fund - Cash and Deposits,Employee Retirement - Total Other Securities,Total Federal Securities,Cash and Deposits,Sinking Fund - Cash and Deposits,Other Funds - Cash and Deposits
West-Palm-Beach,Florida,3606.49,157.84,1.73,,,,,,
Tallulah,Louisiana,86.11,,142.96,,,,,,
Gary,Indiana,736.08,206.75,121.04,,,,,,
Eatonton,Georgia,699.78,,,,,,,,
Stratford,Texas,953.82,21.88,29.65,,,,,,
Fargo,North-Dakota,1184.41,,1389.93,,,,,,
Dickinson,North-Dakota,2644.79,119.05,121.95,,,,,,
Eden,Texas,393.35,92.74,7.73,,,,,,
Columbia,Missouri,3715.09,447.52,146.41,,,,,,
Convoy,Ohio,1083.10,,,,,,,,
South-San-Francisco,California,1497.34,480.83,96.18,,,,,,
Green-Bay,Wisconsin,41.79,,64.58,,,,,,
Rockwall,Texas,477.60,128.23,21.77,,,,,,
Stockton,California,903.41,243.03,280.97,,,,,,
Pensacola,Florida,2012.10,,,,,,,,
Palm-Springs,California,2825.32,407.25,317.70,,,,,,
Ames,Iowa,6469.60,224.86,14.70,,,,,,
Poplar-Bluff,Missouri,1620.18,,55.38,,,,,,
Bowling-Green,Kentucky,1167.26,,,,,,,,
Pocola,Oklahoma,220.09,,6.07,,,,,,
Pendleton,Oregon,624.58,,106.20,,,,,,
Rogers,Arkansas,1195.82,276.85,171.14,,,,,,
Grand-Rapids,Michigan,1640.84,,684.39,,,,,,
Weatherford,Oklahoma,564.12,0.58,195.22,,,,,,
Gruver,Texas,578.85,,,,,,,,
New-London,Connecticut,1379.96,342.99,96.51,,,,,,
Gladstone,Missouri,590.89,157.04,196.81,,,,,,
Columbia,Louisiana,1494.54,,204.92,,,,,,
Lancaster,California,1347.43,17.28,114.21,,,,,,
Willmar,Minnesota,1498.21,,2509.13,,,,,,
Louisville,Kentucky,2028.44,338.35,7747.61,,,,,,
Beaufort,South-Carolina,1506.85,,,,,,,,
Claremont,New-Hampshire,1959.09,,,,,,,,
Robert-Lee,Texas,281.49,,,,,,,,
Oklahoma-City,Oklahoma,2267.70,517.44,154.11,,,,,,
South-Sioux-City,Nebraska,690.69,,2471.54,,,,,,
Fairmont,Minnesota,1297.01,,484.95,,,,,,
Killeen,Texas,397.39,84.40,13.32,,,,,,
Monterey,California,3046.42,577.15,476.15,,,,,,
Port-St.-Lucie,Florida,979.47,80.66,12.53,,,,,,
Harrisburg,Pennsylvania,993.75,122.79,25.86,,,,,,
Lafayette,Indiana,813.22,37.88,207.99,,,,,,
Murphy,North-Carolina,,,323.48,,,,,,
Leesburg,Virginia,1183.52,82.34,184.21,,,,,,
Easton,Maryland,2617.84,317.20,456.60,,,,,,
Poughkeepsie,New-York,242.54,161.00,136.98,,,,,,
West-Frankfort,Illinois,1018.79,,,,,,,,
Muscatine,Iowa,4364.06,302.40,45.87,,,,,,
Coffeyville,Kansas,2900.92,1154.61,725.50,,,,,,
Lansing,Michigan,4057.13,39.57,384.38,,,,,,
Columbus,Indiana,1352.20,121.26,220.60,,,,,,
Kansas-City,Kansas,989.38,1321.57,3340.52,,,,,,
Paris,Illinois,921.79,,,,,,,,
Darlington,South-Carolina,652.69,486.70,,,,,,,
Concord,California,1080.03,217.70,27.87,,,,,,
Torrance,California,814.28,159.78,16.90,,,,,,
Sunny-Isles-Beach,Florida,2492.46,1447.43,,1317.40,,,478.39,,
St.-Petersburg,Florida,2476.80,75.04,589.42,,,,,,
Shelbyville,Tennessee,2326.00,153.48,,,,,,,
Anderson,South-Carolina,3095.46,,2651.86,,,,,,
Hollywood,Florida,2298.49,78.38,10.04,,,,,,
Marana,Arizona,1407.79,12.38,113.30,,,,,,
Bangs,Texas,438.11,,31.43,,,,,,
Minot,North-Dakota,2808.96,23.68,190.05,,,,,,
Bridgeport,Ohio,346.64,,,,,,,,
Wilmington,Delaware,772.50,325.54,492.32,,,,,,
Detroit,Michigan,1843.85,76.78,60.25,,,,,,
Lincoln-Park,Michigan,432.28,,,,,,,,
Catasauqua,Pennsylvania,1838.91,1294.14,,,,,,,
Raleigh,North-Carolina,0.01,,,,,,,,
New-Orleans,Louisiana,4959.80,554.71,798.19,,,,,,
Greeneville,Tennessee,5382.51,,3404.14,,,,,,
Salt-Lake-City,Utah,4172.26,2874.42,1.01,,,,,,
Hillsdale,Illinois,269.31,,17.82,,,,,,
Lakeland,Florida,2077.02,,3290.16,,,,,,
Huron,South-Dakota,1301.57,,,,,,,,
Elmwood-Park,Illinois,842.68,,,,,,,,
Cave-Junction,Oregon,1043.50,,,,,,,,
Evanston,Illinois,755.42,,,,,,,,
Duluth,Minnesota,266.64,,24.76,,,,,,
Crete,Illinois,1220.49,,,,,,,,
Watertown,South-Dakota,861.91,,92.50,,,,,,
Decherd,Tennessee,,,701.81,,,,,,
Melbourne-Beach,Florida,981.81,,,,,,,,
Newark,New-Jersey,126.30,,76.57,,,,,,
Hamlin,Texas,82.14,,,,,,,,
Cullman,Alabama,3993.20,67.79,539.23,,,,,,
Newport,Arkansas,626.84,,220.90,,,,,,
Canton,Ohio,839.20,101.91,11.81,,,,,,
Allentown,Pennsylvania,176.14,40.95,,,,,,,
Martinsville,Virginia,1722.64,35.29,279.75,,,,,,
Fort-Worth,Texas,922.02,489.83,421.88,,,,,,
Millville,New-Jersey,,34.94,,,,,,,
Lafayette,Colorado,2789.65,439.63,0.78,,,,,,
State-College,Pennsylvania,467.55,71.70,,,,,,,
Flagstaff,Arizona,2322.36,,,,,,,,
Astoria,Oregon,3773.14,,94.16,,,,,,
South-Lake-Tahoe,California,3277.65,248.50,756.68,,,,,,
Montoursville,Pennsylvania,362.81,37.96,,,,,,,
Jacksonville,Florida,1077.42,192.24,1233.03,,,,,,
Madison,Wisconsin,954.76,451.32,1168.08,,,,,,
Wynne,Arkansas,339.91,,,,,,,,
Waco,Texas,1742.94,270.48,23280.71,,,,,,
Florence,Kentucky,3072.99,0.52,20.00,,,,,,
Williamsport,Pennsylvania,248.49,13.45,72.94,,,,,,
Greencastle,Indiana,2379.45,133.98,87.54,,,,,,
Belfast,Maine,1169.04,,,,,,,,
Laramie,Wyoming,2940.45,,4.10,,,,,,
Moundsville,West-Virginia,330.59,30.42,121.30,,,,,,
Lake-City,Florida,1306.43,74.81,7.69,,,,,,
Surfside-Beach,South-Carolina,1744.75,,,,,,,,
Franklin-Park,Illinois,680.94,,,,,,,,
Bluefield,Virginia,815.38,,546.41,,,,,,
Christiansburg,Virginia,1723.58,,228.90,,,,,,
Springfield,Ohio,805.87,23.20,22.10,,,,,,
Lake-Charles,Louisiana,2349.66,,67.43,,,,,,
Laurens,South-Carolina,153.80,,,,,,,,
Wichita,Kansas,587.15,287.86,3707.41,,,,,,
Carbondale,Illinois,765.06,,,,,,,,
Anderson,Indiana,1150.77,560.83,188.35,,,,,,
Niceville,Florida,1154.96,537.44,,,,,,,
Indianola,Mississippi,773.93,,,,,,,,
Chino-Valley,Arizona,20.69,127.11,47.43,,,,,,
Grand-Junction,Colorado,760.57,,50.65,,,,,,
Springdale,Arkansas,936.26,,1089.75,,,,,,
Grayville,Illinois,1647.92,629.39,,,,,,,
Naperville,Illinois,576.37,,,,,,,,
Clinton,Oklahoma,2845.05,705.73,31.25,,,,,,
Geneseo,Illinois,1769.82,,,,,,,,
Manchester,Tennessee,2121.40,,,,,,,,
Struthers,Ohio,186.13,,2645.24,,,,,,
Richardson,Texas,747.97,,,,,,,,
Haskell,Texas,60.58,8.56,425.31,,,,,,
Independence,Missouri,1857.47,1.66,1.01,,,,,,
Topeka,Kansas,1087.50,180.25,361.69,,,,,,
Concordia,Missouri,396.45,,105.24,,,,,,
Bristol,Tennessee,4518.99,851.15,168.93,,,,,,
Brea,California,2255.30,433.08,,,,,,,
Kingston,Tennessee,677.84,,140.14,,,,,,
Dallas,Texas,1356.05,951.93,796.14,,,,,,
Jamestown,North-Dakota,1625.30,,218.77,,,,,,
Traverse-City,Michigan,3921.15,,1.72,,,,,,
Decatur,Arkansas,1605.59,258.10,,,,,,,
St.-Louis,Missouri,1841.87,241.01,31.46,,,,,,
Aspermont,Texas,373.65,,,,,,,,
Cleveland,Oklahoma,346.88,,,,,,,,
Sioux-City,Iowa,766.33,795.25,134.86,,,,,,
Steeleville,Illinois,637.40,,,,,,,,
Fairmont,West-Virginia,1131.17,,438.17,,,,,,
Springfield,Oregon,3331.84,116.34,48.39,,,,,,
Pocatello,Idaho,773.08,60.95,,,,,,,
Long-Branch,New-Jersey,1213.15,454.25,87.10,,,,,,
