city,state,Charges - Sewerage,Other,Parks and Recreation,Federal Intergovernmental - Other,Housing and Community Development,Miscellaneous - Fines and Forfeits,General Revenue - Other,Rents,Interest Earnings,Revenue - Water Utilities,State Intergovernmental - Water Utilities,Sewerage,Highways,General Local Government Support,Tax - General Sales and Gross Receipts,Property,Other Selective Sales,Public Utilities Sales,Occupation and Business License - Other,Other License,Documentary and Stock Transfer,Charges - Other,Federal Intergovernmental - Housing and Community Development,Local Intergovernmental - General Local Government Support,Miscellaneous - General Revenue - Other,Fines and Forfeits,Donations From Private Sources,State Intergovernmental - General Local Government Support,Transit Utilities,Education,Tax - Property,Sea and Inland Port Facilities,Regular Highways,Solid Waste Management,Miscellaneous Commercial Activities,Local Intergovernmental - Other,Special Assessments,Sale of Property,Revenue - Transit Utilities,State Intergovernmental - Other,Public Welfare,General Sales and Gross Receipts,Air Transportation,Parking Facilities,Federal Intergovernmental - Air Transportation,Health and Hospitals,Natural Resources,State Intergovernmental - Highways,Water Utilities,Individual Income,Corporation Net Income,Pari - mutuels Sales,Motor Vehicle License,Tobacco Products Sales,Amusements Sales,Public Utility License,Alcoholic Beverage License,Charges - Parks and Recreation,Elementary and Secondary Education - Other,Elementary and Secondary Education School Lunch,Local Intergovernmental - Education,Miscellaneous - Donations From Private Sources,Revenue - Electric Utilities,State Intergovernmental - Education,Alcoholic Beverage Sales,Miscellaneous - Interest Earnings,Gas Utilities,Charges - Solid Waste Management,Natural Resources - Other,Miscellaneous - Special Assessments,Miscellaneous - Rents,Charges - Air Transportation,Electric Utilities,Local Intergovernmental - Electric Utilities,Royalties,Charges - Miscellaneous Commercial Activities,Federal Intergovernmental - Transit Utilities,Local Intergovernmental - Housing and Community Development,Insurance Premiums Sales,Local Intergovernmental - Highways,Local Intergovernmental - Transit Utilities,State Intergovernmental - Transit Utilities,Federal Intergovernmental - General Local Government Support,Motor Fuels Sales,Local Intergovernmental - Water Utilities,Charges - Parking Facilities,Tax - Documentary and Stock Transfer,Federal Intergovernmental - Highways,State Intergovernmental - Sewerage,Amusements License,Hospital Public,Tax - Individual Income,Death and Gift,Elementary and Secondary Education School Tuition and Transportation,Revenue - Gas Utilities,Federal Intergovernmental - Health and Hospitals,Tax - Public Utilities Sales,Federal Intergovernmental - Public Welfare,Toll Highways,Charges - Housing and Community Development,Miscellaneous - Sale of Property,State Intergovernmental - Public Welfare,Charges - Hospital Public,Local Intergovernmental - Health and Hospitals,Employee Retirement - From Local Government,Local Employee Contribution,Interest Revenue,From Other Government,Property Sale Other,General Support,Public Utilities,Federal Intergovernmental - Water Utilities,Local Intergovernmental - Public Welfare,Federal Intergovernmental - Education,Tax - Other Selective Sales,Liquor Stores,Local Intergovernmental - Sewerage,Tax - Occupation and Business License - Other,Federal Intergovernmental - Natural Resources,Total General Sales,Federal Intergovernmental - Sewerage,Tax - Other,State Intergovernmental - Housing and Community Development,Revenue - Liquor Stores,Charges - Regular Highways,State Intergovernmental - Health and Hospitals,Corporation License,State Intergovernmental - Electric Utilities,Charges - Elementary and Secondary Education School Lunch,Motor Vehicle Operators License,Charges - Natural Resources - Other,Tax - Other License,Tax - Amusements Sales,Higher Education - Other,Higher Education Auxiliary Enterprises,Employee Retirement - Earnings on Investments (calculated),From Parent Local Government,Tax - Insurance Premiums Sales,Charges - Sea and Inland Port Facilities,Severance
McAllen,Texas,139.59,2.72,38.82,,14.94,,13.86,12.21,15.43,147.68,,,14.59,,444.03,296.67,38.59,49.33,2.28,10.87,,,,,,10.53,0.34,5.71,1.41,,,,,130.66,,2.26,,,,,,,62.55,9.21,25.26,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,3.62,,,,,,,,,,,,,,,,,,,,,,,,128.38,,75.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltimore,Maryland,433.49,16.49,0.28,,,,,,66.52,294.29,,,,533.14,,,126.77,126.77,9.17,69.16,150.46,,29.08,,294.55,46.31,9.96,,,11.32,1494.96,,15.53,17.77,9.69,39.51,2.63,,,,,,,143.65,,148.09,,,,584.34,,,,,15.04,13.53,2.79,,,0.27,,,,1723.97,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willowick,Ohio,198.30,43.67,,,,,,,2.62,,,,,87.77,,,16.94,,,21.91,,,,,10.92,7.59,,,,,291.81,,,,,,0.99,,,166.68,,,,,,,,,,208.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steamboat-Springs,Colorado,285.91,549.80,219.16,,11.35,,82.26,,59.26,195.93,,,55.55,11.58,1850.92,279.85,78.70,103.45,,7.11,,,,,,14.83,24.82,,12.56,,,,,,,,,,,293.63,,,79.92,,,,,,,,,,,,,,,,,,,,,,,,,,,104.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaumont,Texas,160.89,11.03,11.08,51.15,10.36,,,2.18,12.82,263.20,,,36.23,3.75,,,25.61,71.55,14.12,,,,,,168.13,17.41,5.25,,4.07,,421.82,,,94.27,,0.62,,20.30,,,,327.70,0.88,,,10.13,,,15.74,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edmond,Oklahoma,214.29,2.75,28.97,,,,,2.04,34.60,,,,7.97,9.69,765.00,,16.21,22.51,16.21,,,,4.02,,74.12,17.32,0.94,,7.39,,,,,99.30,4.30,,,3.35,,52.82,,,,,,,,,306.49,,,,,,,,,,,,,,1026.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okawville,Illinois,147.06,0.74,,,,12.50,3.68,,0.74,254.41,,,26.47,,,,22.06,14.71,,2.94,,,,,,,,333.82,,,183.09,,,52.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpena,Michigan,,18.28,,,64.89,,22.70,9.14,21.39,,,,169.24,,,,,,0.30,26.22,,887.51,53.44,,,2.21,,171.25,,,390.02,,,,,75.73,,0.20,,,,,,,,,,,,,,,,,,,,,,,,34.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twin-Falls,Idaho,211.53,2.35,17.27,,,,,1.59,,207.08,,,47.69,0.92,,,,38.75,0.22,36.66,,,,36.04,,0.98,0.58,55.96,,,389.17,,,59.66,,,,0.40,,,,,19.34,,33.57,,,,,,,,,,,,1.12,,,,,,,,,29.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covington,Kentucky,,29.08,0.45,,39.74,,,,,,,,0.12,0.47,,190.65,,55.28,,1.31,,72.98,215.14,,,9.20,,,,,,,,27.44,,8.55,,1.69,,,,,,37.46,,,,57.09,,,73.87,,,,,,6.99,,,,,,,,,,,,,,20.77,,,,,,,,188.20,,,,,,,,,,,,,651.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Windsor,Colorado,112.31,5.97,34.16,,,,,,9.94,154.05,,,,0.75,230.04,184.37,8.53,51.94,1.15,6.37,,,,,171.18,5.38,,,,,,,,,1.15,,,5.48,,,,,,,,,,25.10,1.12,,,,3.58,,,,0.30,,,,,,,,,,,,,,,,,,19.56,,,,,7.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.69,,,,,,,,,,,,,,,,,,,
New-Haven,Michigan,,,,,,,2.24,,2.45,,,,,74.18,,,,,10.39,,,546.77,,,,4.89,,,,,280.42,,,,,3.06,,,,,,,,,,,,85.39,,,,,,,,,,,,,,,,,,,,,,,37.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enid,Oklahoma,216.33,16.66,11.49,,2.62,,,32.42,18.90,447.07,,,25.84,12.08,764.09,76.09,28.74,60.44,5.53,0.12,,,13.28,,37.17,28.60,1.39,,4.31,,,,,108.64,,,1.31,,,26.42,,,28.84,,,,,,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,7.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsburgh,Pennsylvania,,17.03,13.47,,,30.56,,,5.98,,,,44.59,2.73,,,412.11,,41.93,,99.12,151.07,60.57,,,,18.35,,,,479.19,,0.13,3.72,,6.67,,,,136.93,,,,,,,,,,321.81,,,,,57.75,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangor,Maine,,502.11,123.12,,0.96,,7.56,,,,,308.85,,77.71,,,,,,31.43,,,21.48,,,0.84,0.84,,,3.44,1993.34,,,,,,,0.53,24.30,,,,,30.00,,,,,,,,,,,,,,,2.08,11.07,52.69,,,709.57,,106.22,,,,,,529.23,,,,,,,,,,,,,,,,,,,,,,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield,Missouri,259.73,78.84,70.70,,16.58,,,,13.33,,,12.78,13.16,,780.22,139.15,33.43,,31.64,35.03,,,,,48.89,5.82,,91.41,6.30,,,,15.87,48.89,89.12,,5.90,2.02,,,6.16,,136.80,,19.84,14.68,,,292.63,,,,,,,,,,,,,,1803.86,,,,475.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woonsocket,Rhode-Island,,14.42,,32.00,6.73,,,5.10,1.60,192.76,,223.76,15.45,63.23,,,26.35,,31.95,,,,,,79.61,,5.70,,,0.34,1490.77,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,8.17,9.77,68.41,,,1891.02,,,,227.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marianna,Arkansas,,28.81,,,,,,,0.29,,,,,19.40,352.44,57.03,,55.26,,2.65,,,,,145.50,70.84,,,,,,,,,,,,,,,,,,,92.00,,,136.39,,,,,,,,,,,,,,,,,,,,159.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coleman,Wisconsin,308.14,1.45,1.45,,,15.99,2.91,,0.00,113.37,,20.35,65.41,,,,,,4.36,1.45,,,,,,,1.45,268.90,,27.62,521.80,,,1.45,,46.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson,Mississippi,198.89,10.66,17.18,,3.08,,6.48,,3.77,182.19,,,21.86,,,,,48.08,2.26,6.93,,,,,,15.12,0.62,348.01,2.65,,471.26,,,63.95,0.06,,0.95,2.01,,,8.53,,130.66,1.03,36.29,6.91,,,,,,,,,,,,,,,,,,,,,,,,,21.02,,,,,,,,,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chillicothe,Ohio,140.69,41.25,5.25,,2.58,,,,2.12,200.67,,,,,,46.96,14.55,14.50,,12.80,,,,,45.35,44.93,0.51,,6.95,,,,,67.35,,,0.23,,,,,,,0.18,,,,83.28,,,73.61,,0.60,0.05,,,8.19,,,,,,,,,,,,,,,,,,,,61.92,,,,,,,,,,,,,,,608.60,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedford,Virginia,,,,,,,51.08,,21.52,,,,,42.60,,,,52.90,3.33,44.11,,,,,,5.31,,,,,265.12,,,,14.25,,,1.82,,,,33.20,,,,,,212.67,,,,,,40.17,,4.24,,,,,,,3740.18,,,,,123.39,,,73.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covington,Tennessee,271.22,119.09,3.62,,19.13,,33.85,,,,,,29.54,,,,,,,4.08,,,,,,25.47,,590.22,,,443.97,,,196.74,,,32.71,5.55,,,,,44.15,,,,,,183.61,,,,,,,,,,,,,,2116.59,,,135.50,434.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo,New-York,,0.01,0.91,1.72,,,,5.87,6.05,162.73,,,30.52,632.74,,,,42.15,6.70,28.94,,,,332.63,44.25,42.94,1.38,,,191.26,329.51,,,,,,,3.47,,,,,,37.86,,,,,,,,,,,,,,,13.93,4.94,,,,3568.27,,,,72.82,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evansville,Indiana,556.34,10.05,28.84,25.80,,,19.52,,5.48,314.10,,,38.24,42.22,,,8.08,6.68,1.97,12.39,,,,,,2.56,0.53,,18.69,,508.67,0.76,12.30,1.22,3.52,,0.67,0.92,,185.63,,,13.56,16.13,,,,,14.30,135.27,,,,,,,,,,,,,,,,,,,0.01,,97.15,,,,,,,,,16.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alton,Texas,89.64,48.61,1.82,,,25.52,,1.60,0.22,,,,,1.66,,,,14.75,,,,,,,,,0.94,,,,85.06,,,81.63,,9.22,7.07,17.62,,,,44.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.17,,,,,,,,,,,,,,,,,,,
Arlington-Heights,Illinois,33.53,30.15,2.26,,,,,,11.76,272.32,,,25.63,,,,81.97,101.32,,83.09,,,,,17.08,11.02,,259.86,,,652.43,,,,,21.75,,,,,,89.19,,19.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howell,Michigan,226.68,62.89,,,,,,14.58,0.94,239.90,,,,89.23,,,,,33.63,,,,,,54.35,6.25,,,,,545.09,,,18.12,,,,,,,,,,,,,,97.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El-Campo,Texas,151.23,9.36,22.01,,,51.74,17.51,3.21,3.38,141.26,,,,0.95,299.25,291.79,9.62,79.21,8.93,,,,,,,,0.09,,,,,,,142.91,,,,1.39,,7.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cranston,Rhode-Island,280.61,6.79,,,11.85,,,,15.43,,,,,222.88,,,,,,41.58,,,,,35.76,19.00,3.33,,,,2332.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.90,13.32,103.10,,,890.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.24,,,,,,,,,,,,,,,,,,,,31.97,,,,,,,,,,,,,,,,,,,,,,,,,,
Sayreville,New-Jersey,80.80,11.77,,,,,,3.28,2.33,205.15,,,,,,,16.23,4.53,,31.01,,,44.98,,54.47,16.53,,226.38,,,747.65,,,0.16,,,,2.60,,,,,,1.27,,1.04,,,,,,,,,,,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sedona,Arizona,560.79,36.56,7.35,,,,12.77,,,,,,88.98,,1577.52,,,87.73,,95.08,,,,,,21.28,4.06,402.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West-Park,Florida,,0.86,2.52,10.87,,,1.72,,6.43,,,,1.13,1.06,,,,80.99,78.93,14.58,,36.05,,,,36.45,0.73,94.70,,,223.67,,,3.45,,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.01,222.88,,,,,,,,,,,,,,17.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile,Alabama,321.48,70.42,68.81,,,,,,4.47,211.68,,,,0.68,1002.75,115.52,93.32,16.13,187.45,18.43,,,16.58,,18.21,15.97,,,5.38,,,,,0.17,,7.85,7.92,3.45,,35.45,,,,3.40,,,,,,,,,5.45,11.56,,,,,,,,,,,11.19,,,,,,,,,,,,,,,,,,,55.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oak-Grove,Kentucky,,11.61,1.64,,,,,4.78,0.55,230.33,,3.28,,,,147.95,,42.49,1.91,22.81,,4.78,,,,9.97,,,,,,,,,,48.77,,4.78,,,,,,,,,,20.49,,62.30,48.77,,,,,,1.23,,,,,,,,,,,,,23.50,,,8.33,,,,,,96.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.02,,,,,,,,,,,,,,,,,,,,,,,,,
Chubbuck,Idaho,244.03,6.93,1.15,,,,,6.03,,175.07,,,54.46,,,,,12.89,2.69,17.45,,,,2.05,,0.77,2.57,68.13,,,323.33,,1.86,115.73,,,,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San-Diego,California,,22.97,84.61,,36.04,,47.30,,16.17,412.31,,0.94,29.42,1.95,,,162.84,112.50,14.54,59.64,7.53,292.21,184.23,,,22.58,5.72,,,,383.68,,36.11,44.19,,2.56,18.99,1.48,,34.84,,220.54,3.88,,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,62.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemont,Illinois,,35.45,,,,,,,1.04,273.84,,,24.52,,,,,79.17,,108.44,,7.75,,,92.13,17.18,,215.95,,,198.48,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntsville,Alabama,199.68,24.34,57.31,,1.12,,,,21.32,,,0.04,17.77,30.89,974.13,296.73,71.85,93.02,109.69,22.43,,,13.63,,39.98,19.96,12.27,,,,,,,62.02,0.03,1.00,33.24,7.79,,61.13,,,,12.69,,,,,227.99,,,,,6.13,,,,,,,,,2411.40,,16.84,,169.50,,,,,,,,,,,,,,,,,6.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake-City,South-Carolina,245.19,4.31,7.39,0.15,,12.93,3.39,2.62,11.85,,,,3.85,5.69,,,72.03,,246.42,64.95,,,,,,,,49.25,,,409.57,,,40.33,1.39,,,5.85,,,12.62,,,,,,,,300.91,,,,,,,11.08,,,,,,,1414.35,,,,885.95,,,,,,,33.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bakersfield,California,,67.20,3.78,192.30,8.14,,7.87,20.03,4.12,91.62,,118.52,24.96,2.75,,,24.92,29.74,9.96,12.01,3.41,,,,,10.71,0.14,,,,207.67,,0.19,,,13.97,,0.02,,29.92,,185.23,1.38,,,,,,0.14,,,,,,,,,,,,,,,,,,,121.54,,38.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lancaster,Pennsylvania,284.74,10.09,2.94,,33.36,,,9.62,0.00,456.61,,,24.01,1.16,,,,,54.03,,20.20,,27.08,,,35.86,,,,,465.59,,,66.84,,13.85,,2.13,,58.67,,,,,,,,,,102.61,,,,,,10.73,,,,,,89.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey-City,New-Jersey,,75.34,2.86,,10.65,,,,14.95,243.58,,5.40,3.96,,,2.93,31.96,9.48,1.47,,,,277.83,,576.51,62.97,13.55,203.90,,,,,,,,36.71,,41.19,,,,,,14.40,,8.16,,,,,,,,,,0.43,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.29,,,,,,,,
Victorville,California,,86.02,8.02,25.44,5.09,,3.32,2.90,8.97,,,94.31,19.32,0.69,,,9.30,23.21,3.56,13.71,2.93,,,,,4.28,0.48,,,,219.04,,27.65,,,200.15,,1.27,,29.66,,219.00,60.05,,,,,,,,,,,,,,,,,,,,105.32,,,,17.72,149.66,,19.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El-Paso,Texas,144.15,13.27,16.57,,15.23,,,13.54,14.76,224.74,,0.76,7.45,3.88,,,24.81,89.31,4.41,19.07,,,,,28.59,13.81,1.11,,16.95,,373.95,,0.76,91.97,,3.59,,2.47,,,,186.45,6.57,,,3.24,,,2.94,,,,,,0.07,,0.16,,,,,,,,,,,,,,,,,,,,38.87,,,,,,,,,,,,,,,,,,,,,,32.47,,,,,,,,,,,,,,,,,,,,,,,,,,,25.76,,,,,,,,,,,,,,
Boonville,Missouri,229.06,27.73,,,,,,,28.68,249.08,,,,8.77,,138.76,22.63,7.58,102.62,15.05,,,,,38.04,9.60,,,,,,,,76.90,,,,,,,,218.27,,,,,,32.82,,,,,41.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.23,,,,,,,
Salem,Oregon,349.11,82.40,,,22.67,,11.57,12.04,,209.39,,,,33.23,,,19.96,110.20,,80.78,,,108.47,,,30.61,,,,,562.43,,1.11,,,55.66,57.11,0.28,,,,,7.90,8.08,,,,151.60,,,,,,,,,,,,,,,,,,163.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sault-Ste.-Marie,Michigan,,107.82,,,60.21,,,4.47,21.76,,,,,119.45,,,,,2.24,,,736.66,96.35,,122.13,,0.60,,,,513.26,,,,,103.35,21.98,,,,,,,12.15,,,,200.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Brunswick,New-Jersey,,143.67,,,0.50,,,0.07,33.53,241.29,,324.23,0.09,162.91,,,11.50,2.87,,49.84,,,224.15,,316.69,52.50,,,,,721.21,,,,,,,0.52,,,,,,,,1.85,,,,,,,,,,,3.34,,0.32,12.20,2.42,,,2967.27,,,,,,,,,,,,,,,,,,,,,,554.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sealy,Texas,140.86,5.27,,0.16,0.31,74.93,29.01,3.57,4.34,,,,11.64,,324.54,316.17,30.87,73.53,,16.91,,,,,,,16.44,,,,,,,89.05,,,3.26,0.16,,,,,,,,,,,189.26,,,,,,,,0.16,,,,,,,,,,,,20.94,,,,,,,,,,,,,,,,,,,,44.37,,,,,,226.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,Minnesota,251.28,114.12,50.95,,186.31,,53.71,5.69,,188.71,,0.72,45.89,,,,52.33,74.82,,108.55,,,37.56,,,18.75,,181.52,,,770.65,,,90.34,,74.95,71.43,48.77,,,,129.57,,159.38,,,,,,,,,,,3.01,,,,,,,,,,13.57,205.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fair-Haven,New-Jersey,,,,,,,,16.39,2.79,,,,,,,,,16.04,,34.00,,,,,29.81,12.73,,77.06,,,1204.32,,,,,,1.22,,,,,,,,,,,,,,,,,,,,1.39,,,,,,,,,,,12.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reno,Nevada,288.13,24.65,22.62,,,,,6.70,48.86,,,,26.73,,,,44.02,104.50,63.27,64.34,,,16.60,,57.38,15.58,10.53,308.53,,,267.01,,,,,22.31,19.20,6.19,,,,50.00,,4.62,,,,,,,,,,,,,7.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Castle,Pennsylvania,,4.02,15.08,8.56,21.60,3.42,,,3.01,,,,,0.79,,,,,67.26,,5.37,98.34,,,,,,,,,302.16,,,40.15,,,,,,,,,,3.28,,,,40.01,,204.83,,,,,,14.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany,Georgia,362.12,34.24,19.60,3.73,26.01,,,9.25,35.81,,,,,,,,34.30,23.57,23.29,5.64,,,,142.91,190.96,15.93,0.61,,11.23,,210.18,,2.08,138.10,41.55,,,,,,,,17.79,,,,,,97.89,,,,,,,,6.36,,,,,,1495.74,,18.16,,244.85,,,,,,,,,,,,72.30,,,,,,,,,,,,,,,,,,,,,,,53.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visalia,California,208.39,41.74,51.42,,17.25,,10.87,3.14,24.09,,,,17.97,0.74,261.30,164.17,20.62,19.07,16.68,122.99,3.05,,,,,7.90,0.24,,38.45,,,,1.43,142.73,,,,10.91,35.50,,,,0.74,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,61.33,,,,,,,189.22,,,,27.06,,,,,,,,60.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartford,Connecticut,,702.08,,,10.99,,93.71,8.33,7.84,,,,28.95,,,,,,4.08,45.46,10.66,,447.27,,,2.49,,,,,2313.22,,,0.69,18.50,,,2.33,,,40.69,,,,,12.50,,,,,,,,,,,,,0.80,3.64,1.18,111.72,,3043.83,,,,,,,,,,,,,,,,,,,,,,29.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
