id,lat,lon,category,name,created_on,geolocation_degrees,promoted,Street_Num,Street_Name,City,County,State,Country,Zip
10495,35.7861395,-78.64762545,nightlife,Havana Deluxe,1502877609,"78°38'51.45""W, 35°47'10.1""N",,439,Glenwood Avenue,Raleigh,Wake County,North Carolina,United States,27603
10499,45.50936574,-73.57280552,atm,Guichet Instacoin ATM - Dépanneur Ultra 25-Hrs,1502894455,"73°34'22.1""W, 45°30'33.72""N",,3475,Avenue du Parc,Montréal,Communauté-Urbaine-de-Montréal,Québec,Canada,H2X 2H6
14434,29.59689413,-98.35055351,atm,Coinme Bitcoin ATM,1530910934,"98°21'1.99""W, 29°35'48.82""N",,,Unnamed Road,San Antonio,Bexar County,Texas,United States,78266
10504,40.75128839,-74.03832436,default,Serge Gree Photography and Videography,1502921360,"74°2'17.97""W, 40°45'4.64""N",,100,Manhattan Avenue,Union City,Hudson County,New Jersey,United States,7087
10513,40.72176228,-111.5407562,default,GearTrade.com,1502982906,"111°32'26.72""W, 40°43'18.34""N",,6400,Newpark Boulevard,Park City,Summit County,Utah,United States,84098
14436,29.59115666,-95.62559009,atm,Coinme Bitcoin ATM,1530911446,"95°37'32.12""W, 29°35'28.16""N",,,Unnamed Road,Sugar Land,Fort Bend County,Texas,United States,77479
10523,53.2924895,-113.5355473,shopping,Westechlabs,1503104007,"113°32'7.97""W, 53°17'32.96""N",,7108,42 Street,Leduc,Division No. 11,Alberta,Canada,T9E 0R8
10528,19.26103235,-98.84492346,trezor retailer,Bitcoin-Chalco,1503249125,"98°50'41.72""W, 19°15'39.72""N",,1,Avenida Los Héroes Chalco,,,Estado de México,Mexico,56644
10546,44.76134635,-79.94959116,shopping,Pro Top Shelf,1503393957,"79°56'58.53""W, 44°45'40.85""N",,148,Robert Street West,Penetanguishene,Simcoe County,Ontario,Canada,L9M 1P8
10548,42.61880201,-83.42536926,default,CAD Financial Consulting,1503415413,"83°25'31.33""W, 42°37'7.69""N",,7035,Magnolia Lane,Waterford Township,Oakland County,Michigan,United States,48327
10552,39.70943168,-104.939754,default,Denver Upper Cervical Chiropractic,1503437278,"104°56'23.11""W, 39°42'33.95""N",,400,South Colorado Boulevard,Denver,Arapahoe County,Colorado,United States,80246
10555,20.50618919,-86.95629358,food,Pop You Cozumel,1503468269,"86°57'22.66""W, 20°30'22.28""N",,603,Avenida Rafael E. Melgar,San Miguel de Cozumel,,Quintana Roo,Mexico,77600
10556,20.65868178,-87.066523,food,Pop You Playa,1503468515,"87°3'59.48""W, 20°39'31.25""N",,78,Calle Paseo de Segovia,Playa del Carmen,,Quintana Roo,Mexico,
10565,45.12239587,-93.24714661,shopping,Memories Renewed,1503532356,"93°14'49.73""W, 45°7'20.63""N",,933,Manor Drive Northeast,Spring Lake Park,Anoka County,Minnesota,United States,55432
10566,45.27529036,-71.97358131,shopping,InfoEstrie,1503537006,"71°58'24.89""W, 45°16'31.05""N",,88,Rue Main,North Hatley,Memphrémagog,Québec,Canada,
10567,40.03535294,-105.211966,default,CreekSide Tree Nursery,1503543966,"105°12'43.08""W, 40°2'7.27""N",,3281,61st Street,Boulder,Boulder County,Colorado,United States,80301
10575,41.01511798,-91.96812987,lodging,Delta Nu Zeta,1503597238,"91°58'5.27""W, 41°0'54.42""N",,403,West Merrill Avenue,Fairfield,Jefferson County,Iowa,United States,52556
